image_id,group,content,attention_0.5,attention_0.7,attention_box_0.5,attention_box_0.7
bird_00,bird,bird,0.1536,0.03,0.6101,0.1406
bird_01,bird,bird,0.1101,0.0417,0.5273,0.1416
bird_02,bird,bird,0.0493,0.0098,0.1365,0.0483
bird_03,bird,bird,0.093,0.0112,0.6562,0.2051
cat_00,cat,cat,0.0261,0.0076,0.0457,0.0103
cat_01,cat,cat,0.103,0.0173,0.2974,0.0286
cat_02,cat,cat,0.127,0.0171,0.3213,0.0242
cat_03,cat,cat,0.0598,0.0098,0.0889,0.0308
dog_00,dog,dog,0.2009,0.0291,0.8354,0.457
dog_01,dog,dog,0.1084,0.0125,0.5737,0.1038
dog_02,dog,dog,0.1326,0.0068,0.4475,0.127
dog_03,dog,dog,0.3584,0.0796,0.9062,0.6064
horse_00,horse,horse,0.063,0.0249,0.0955,0.0457
horse_01,horse,horse,0.0774,0.0195,0.2195,0.0684
horse_02,horse,horse,0.1519,0.0415,0.4968,0.1743
horse_03,horse,horse,0.1104,0.01,0.7634,0.1282
man_00,man,man,0.1743,0.0054,1.0,0.6514
man_01,man,man,0.696,0.0791,1.0,1.0
man_02,man,man,0.5466,0.0413,1.0,1.0
man_03,man,man,0.3115,0.0271,1.0,0.4724
woman_00,woman,woman,0.769,0.1433,1.0,0.9531
woman_01,woman,woman,0.6506,0.1108,1.0,1.0
woman_02,woman,woman,0.1748,0.0044,0.9219,0.5391
woman_03,woman,woman,0.2129,0.0159,1.0,0.4658
